Pattern,Reasoning_Clause,Decision
Other/Unspecified,"background, cosmetic products and ingredients (except color additives) and labeling are not subject to premarket approval by fda",Denial
Other/Unspecified,well as labeling requirements,Denial
Safety Established,"a predicate device, or in the alternative, if it is not supported by clinical evidence necessary to demonstrate the safe and effective use of the dev",Denial
Other/Unspecified,highlighting the regulatory history of the zeltiq coolsculpting system by summarizing the main indications cleared by fda as well as additional clear,Denial
Procedural Issue,"authority under section 361 of the phs act to: make and enforce such regulations as in [fda’s] judgment are necessary to prevent the introduction, tr",Denial
Other/Unspecified,"es from foreign countries into the states or possessions, or from one state or possession into any other state or possession",Denial
Other/Unspecified,"to be sources of dangerous infection to human beings, and other measures, as in [fda’s] judgment may be necessary",Denial
Other/Unspecified,"and consideration, we deny the petition for the reasons set forth below",Denial
Procedural Issue,"sociate commissioner for policy, with respect to your previous request for administrative reconsideration under 21 cfr 10",Denial
Sufficient Evidence,"evidenced by the written decisions denying both your original citizen petition and your petition for reconsideration, the agency has already thorough",Denial
FDA Agrees/Warrants Action,"serts that its ""requested action is appropriate subject matter for a petition"" because it ""does not seek referral of a matter to a united states attor",Denial
Safety Established,serts that pai's potassium chloride oral solution drug products raise patient safety concerns because of the amount of alcohol they contain as an exci,Denial
Safety Established,sertion that pai's prescription drug products raise safety concerns because of the,Denial
Safety Established,"not withdrawn from sale for reasons of safety and efficacy; that determination was published in the federal register on may 23, 2007",Denial
Other/Unspecified,"one tablets, 6 mg, approved under anda 088316, held by west-ward pharmaceuticals international ltd, as a reference standard for dexamethasone tablets",Denial
Other/Unspecified,"one tablet; oral, orange book, available at https://www",Denial
Other/Unspecified,"one tablet; oral, orange book",Denial
Safety Established,"decadron was not withdrawn from sale for reasons of safety and efficacy; that determination was published in the federal register on may 23, 2007",Denial
Other/Unspecified,sociated with application of the device…with special focus on physiological motion of the organ…;”2 and “with the manner with which the device is used,Denial
Other/Unspecified,tomosis …often resulting in creation of a staple line (tissue fastening) patterns or configurations of simple to very complex geometries with special,Denial
Other/Unspecified,"ed on our review of these materials and for the reasons described below, the petition is denied in part and granted in part",Denial
Other/Unspecified,teride (propecia and proscar) )lqdvwhulghlvdį-reductase inhibitor that reduces the conversion of testosterone to į- dihydrotestosterone,Denial
Other/Unspecified,teride products are currently available in the united states,Denial
Other/Unspecified,"teride, 5 mg (proscar, nda 020180), on june 19, 1992, for the treatment of symptomatic benign prostatic hyperplasia (bph)",Denial
Other/Unspecified,"teride, 1 mg (propecia, nda 020788), on december 19, 1997, for the treatment of male pattern hair loss (androgenic alopecia) in men",Denial
Other/Unspecified,"our review of these materials and for the reasons described below, the petition is denied in part and granted in part",Denial
Public Health Benefit,authority under section 361 of the public health service act (phs act) to: page 2 – wendy kramer make and enforce such regulations as in [fda’s] judg,Denial
Other/Unspecified,"es from foreign countries into the states or possessions, or from one state or possession into any other state or possession",Denial
Other/Unspecified,"to be sources of dangerous infection to human beings, and other measures, as in [fda’s] judgment may",Denial
Other/Unspecified,"and consideration, we deny the petition for the reasons set forth below",Denial
Other/Unspecified,a reference standard because the currently listed rld is unavailable in the marketplace and anda 076-856 relies on dantrium (nda 017-443) as its rld,Denial
Safety Established,"been demonstrated, and that can be expected to have the same clinical effect and safety profile when administered to patients under the conditions sp",Denial
Other/Unspecified,"ons stated below, we are denying your petition for two reasons",Denial
Procedural Issue,requests that fda initiate enforcement actions are not within the scope of our citizen petition regulations,Denial
Other/Unspecified,"requesting that we prohibit the entry of foreign cosmetics such as hair pearl or ""other hair 'tinting' products emanating"" from hair pearl and its or",Denial
Already Addressed/Moot,"moot, because such products are covered by import alert 53-04, ""detention without physical examination of eyelash and eyebrow dyes containing coal-ta",Denial
Other/Unspecified,"initiated in 1982 when it was noted that, upon chemical analys",Denial
Other/Unspecified,sociated with application of the device…with special focus on physiological motion of the organ…;”2 and “with the manner with which the device is used,Denial
Other/Unspecified,tomosis …often resulting in creation of a staple line (tissue fastening) patterns or configurations of simple to very complex geometries with special,Denial
Other/Unspecified,"ons stated in section ii of this response, we are denying your petition",Denial
Other/Unspecified,"t sandwiches because you use a whole, shell egg to craft them, but you found that some foodservice and retail competitors use the same term, “egg,” wi",Denial
Other/Unspecified,: • the term “egg” has no definition under 21 cfr 160,Denial
Other/Unspecified,is for evaluating the use of the term; and • many place a food order based on product name or description only (without viewing any ingredient informa,Denial
Other/Unspecified,"product name or description only (without viewing any ingredient information), so consumers may order an “egg” yet receive an “egg product",Denial
Other/Unspecified,sociated with application of the device…with special focus on physiological motion of the organ…;”2 and “with the manner with which the device is used,Denial
Other/Unspecified,tomosis …often resulting in creation of a staple line (tissue fastening) patterns or configurations of simple to very complex geometries with special,Denial
Other/Unspecified,"of the potential for serious, irreversible disability, and the likelihood that prescriber awareness would avert some of these events (2017 supplement",Denial
Other/Unspecified,also modified in 2017 to address the risk of multiple vertebral fractures,Denial
Other/Unspecified,"es, including the risk of multiple vertebral fractures",Denial
Other/Unspecified,ing above pretreatment values then returning to pretreatment values 24 months after the last dose of prolia,Denial
Other/Unspecified,"“non-digestible soluble and insoluble carbohydrates (with 3 or more monomeric units), and lignin that are intrinsic and intact in plants; isolated or",Denial
Sufficient Evidence,is for our determination that the strength of the scientific evidence does not show that the consumption of alpha-cyclodextrin has a physiological eff,Denial
Other/Unspecified,"determined may be added to the definition of dietary fiber, see “questions and answers on dietary fiber,” available at http://www",Denial
Other/Unspecified,"ed, high-glycemic meal” (petition at page 1)",Denial
Other/Unspecified,"you are a requestor, as defined in section 505g(q)(3) of the fd&c act and your petition requests a type of relief that could be sought under an omor",Denial
Other/Unspecified,e note that information about the omor process is available on fda’s website2 should you pursue that process for your request,Denial
Other/Unspecified,"sert that the same attorney who provides legal counsel to the american feed industry association (afia) also represents aafco, presenting what you cha",Denial
Other/Unspecified,a “massive conflict of interest for the interests of public ‘regulators’ to be represented by the same attorney that represents the interests of the,Denial
Other/Unspecified,"ons set forth below, we are denying your petition",Denial
Other/Unspecified,"sert that the same attorney who provides legal counsel to the american feed industry association (afia) also represents aafco, presenting what you cha",Denial
Other/Unspecified,a “massive conflict of interest for the interests of public ‘regulators’ to be represented by the same attorney that represents the interests of the,Denial
Other/Unspecified,"ons set forth below, we are denying your petition",Denial
Other/Unspecified,"sert that the same attorney who provides legal counsel to the american feed industry association (afia) also represents aafco, presenting what you cha",Denial
Other/Unspecified,a “massive conflict of interest for the interests of public ‘regulators’ to be represented by the same attorney that represents the interests of the,Denial
Other/Unspecified,"ons set forth below, we are denying your petition",Denial
Procedural Issue,"on described below, we are denying your petition in accordance with 21 cfr 10",Denial
Other/Unspecified,"ed to let you know that since our may 20, 2022, response to your earlier petition (fda-2022-p-0119) requesting that we hire two additional foia staff",Denial
Procedural Issue,"k the commissioner to take a specific administrative action, which is an element of citizen petitions",Denial
Already Addressed/Moot,part of the efforts cvm stated are already underway? • is fda-cvm aiming to hire more than,Denial
Other/Unspecified,it does not meet the required elements of a citizen petition,Denial
Other/Unspecified,well as representative information known to the petitioner which is unfavorable to the petitioner's position,Denial
Other/Unspecified,pects of adopting animal feed ingredients should comply with requireme,Denial
Other/Unspecified,"sert that the same attorney who provides legal counsel to the american feed industry association (afia) also represents aafco, presenting what you cha",Denial
Other/Unspecified,a “massive conflict of interest for the interests of public ‘regulators’ to be represented by the same attorney that represents the interests of the,Denial
Other/Unspecified,"ons set forth below, we are denying your petition",Denial
Public Health Benefit,secondary (supplemental) endpoints – particularly when the primary endpoint is a surrogate for clinical benefit based on tumor imaging,Denial
Other/Unspecified,carefully considered your petition and acknowledges the importance of the issues it raises,Denial
Other/Unspecified,"ures are not the focus of the 2018 guidance, in june 2021, fda published the draft guidance for industry titled core patient-reported outcomes in canc",Denial
Other/Unspecified,a scientific manuscript in the peer-reviewed literature,Denial
Other/Unspecified,e protocols for the method in fda’s bacteriological analytical manual (bam) that are sufficiently detailed to enable the method to be evaluated and re,Denial
Safety Established,"mod 1, the [centers for disease control and prevention (cdc)], [the united states department of agriculture’s (usda’s)] food safety and inspection se",Denial
Other/Unspecified,"sessments in page 2 - alison bodor foods, tasked with establishing transparent and risk-based interpretive criteria, including sample positivity and n",Denial
Other/Unspecified,well as interpretive criteria for results confirmed through sequencing,Denial
Other/Unspecified,"ed on our review of these materials, and for the reasons described below, we conclude that the petition does not contain facts demonstrating any reaso",Denial
Other/Unspecified,"ons stated below, fda is denying the petition",Denial
Other/Unspecified,"our review of these materials, and for the reasons described below, we conclude that the petition does not contain facts demonstrating any reasonable",Denial
Other/Unspecified,that the petition does not contain facts demonstrating any reasonable grounds for the requested actions,Denial
Already Addressed/Moot,"the product addressed in your petition is no longer on the market, we are denying this portion of your petition as moot",Denial
Safety Established,ks that fda set additional safety standards for the homeopathic industry as a whole (petition at 3),Denial
Safety Established,sure the safety and effectiveness of most class i devices,Denial
Other/Unspecified,"s i devices are not subject to premarket notification requirements unless fda concludes that they are ""intended for a use which is of substantial impo",Denial
Other/Unspecified,onable risk of illness or injury,Denial
Other/Unspecified,ks the agency to undertake rulemaking that would require the submission of 51 o(k)s for all members of the reprocessed subset of this generic device t,Denial
Other/Unspecified,troenterology/urology (g/u) presen,Denial
Sufficient Evidence,the limited relevant evidence submitted in the petition and the petition supplement does not provide sufficient grounds for the agency to revoke the,Denial
Other/Unspecified,"e (""chd"") health claim at this time",Denial
Other/Unspecified,not been met for this health claim,Denial
FDA Agrees/Warrants Action,no longer significant scientific agreement to support the soy protein and chd health claim (see section 403(r)(3)(b)(i) [21 u,Denial
Other/Unspecified,/e determinations for nonprescription drugs marketed without an approved drug application (see section 505g of the fd&c act; 21 cfr part 330),Denial
Other/Unspecified,"not reviewed any homeopathic drug products under the otc drug review because the agency 2 for purposes of this response, we refer to a 'homeopathic d",Denial
Other/Unspecified,a drug product that is labeled as “homeopathic,Denial
Other/Unspecified,"ons explained below, we are denying your petition",Denial
Other/Unspecified,soon as possible regarding your treatment concerns,Denial
Other/Unspecified,"""indicated for use as a sedative for the relief of anxiety, tension, and apprehension, and as an anticonvulsant for the treatment of gran mal and pet",Denial
Other/Unspecified,for the reasons discussed more fully below,Denial
Other/Unspecified,ons discussed more fully below,Denial
Other/Unspecified,"ures that are effective in managing the risk of v vulnificus, increased focus on adherence to the control measures by the shellfish industry and state",Denial
Other/Unspecified,ed oversight by fda have resulted in a significant reduction in oyster-associated v vulnificus illnesses since 2013,Denial
Other/Unspecified,"tal ecosystems where filter- feeding bivalve mollusks, such as oysters, grow",Denial
Other/Unspecified,e see food and drug administration,Denial
FDA Agrees/Warrants Action,a performance standard of non-detectable for v vulnificus in raw or processed raw molluscan shellfish is not warranted at this time,Denial
Other/Unspecified,"ons set forth below, your petition is denied",Denial
Other/Unspecified,well as guidance documents and policy tools to help assist others with understanding whether software falls within the definition of device and fda's,Denial
Procedural Issue,"k that your firm and its products be excluded from fda regulation, including annual registration and listing requirements",Denial
Other/Unspecified,ked us to: a) add a new section to part 189 of title 21 prohibiting the use of eight ortho-phthalates as food contact substances that the consumer pro,Denial
FDA Agrees/Warrants Action,", as explained in more detail below, we do not think those actions are appropriate at this time",Denial
Procedural Issue,"and consideration of the petition, we are denying the specific request to amend the dietary supplement labeling regulations to require probiotic ingr",Denial
Other/Unspecified,"those emanating from the recent white house conference on hunger, nutrition, and health",Denial
FDA Agrees/Warrants Action,e reply to this letter (email is acceptable) and let me know if unilever agrees to the 1-year extension we are requesting,Denial
Enforcement Discretion,"it necessary to request this additional extension due to our limited resources and competing priorities, such as those emanating from the recent whit",Denial
Enforcement Discretion,"t year, we find it necessary to request this additional extension due to our limited resources and competing priorities",Denial
Other/Unspecified,sure you that responding to your petition is also a high priority for us,Denial
FDA Agrees/Warrants Action,e reply to this letter (email is acceptable) and let me know if unilever agrees to the 1-year extension we are requesting,Denial
Other/Unspecified,e contact me at 240-402-2082,Denial
Enforcement Discretion,it necessary to request this additional extension due to our limited resources and competing priorities,Denial
Enforcement Discretion,"t year, we find it necessary to request this additional extension due to our limited resources and competing priorities",Denial
Other/Unspecified,e be assured that responding to your petition is a priority for us,Denial
FDA Agrees/Warrants Action,e reply to this letter (email is acceptable) and let me know if unilever agrees to the 1-year extension we are requesting,Denial
Other/Unspecified,e contact me at 240-402-2082,Denial
Enforcement Discretion,it necessary to request this additional extension due to our limited resources and competing priorities,Denial
Enforcement Discretion,"you are aware, we have limited resources, and many of them have been devoted to responding to the nationwide infant formula shortage in recent months",Denial
FDA Agrees/Warrants Action,e reply to this letter (email is acceptable) and let me know if unilever agrees to the 1-year extension we are requesting,Denial
Other/Unspecified,e contact me at 240-402-2082,Denial
Procedural Issue,"part of this new framework for dietary supplement regulation, dshea also amended the fd&c act by adding section 413 (21 u",Denial
Safety Established,"is on which the manufacturer or distributor has concluded that a dietary supplement containing the ndi will reasonably be expected to be safe, unless",Denial
Other/Unspecified,"ons described below, we are denying your petition",Denial
Other/Unspecified,"“daily-wear uniform scrubs,” which are marketed to and worn by workers in healthcare facilities and settings, including physicians, nurses, medical t",Denial
Other/Unspecified,reviewed pursuant to section 505(j)(2)(c) of the act,Denial
Safety Established,"determined that your proposed change in strength raises questions of safety and effectiveness, and has concluded that clinical trials are required fo",Denial
Other/Unspecified,"two indications, post operative nausea and vomiting (ponv) and chemotherapy induced nausea and vomiting (cinv), each with different dosing recommenda",Denial
FDA Agrees/Warrants Action,"e in the risk 1 the fda disagrees with the comments of hyman, phel",Denial
Other/Unspecified,"ed on a review of the petition including the scientific and medical literature accompanying the petition, the comments submitted on the petition,3 and",Denial
Other/Unspecified,"originally assigned docket number 2005p-0267/cpi, the number was changed to fda-2005-p-0059 as a result of fda's transition to its new docketing syst",Denial
Other/Unspecified,"the labeling for the reference listed drug, with certain permissible differences not relevant here",Denial
Other/Unspecified,"a review of the petition including the scientific and medical literature accompanying the petition, the comments submitted on the petition,3 and the",Denial
Other/Unspecified,"reviewed pursuant to section 505g)(2)(c) of the federal food, drug, and cosmetic act (act)",Denial
Other/Unspecified,"evaluated with respect to the ""pediatric research equity act of2003"" (prea) that was signed into law december 3, 2003",Denial
Safety Established,sessment of the safety and effectiveness of the drug for the claimed indication in all relevant pediatric subpopulations unless the requirement is wai,Denial
Other/Unspecified,"it has been determined, under prea",Denial
Other/Unspecified,"ed on our review of these materials, for the reasons set forth below, both petitions are denied",Denial
Safety Established,"with all fda-approved products, we will continue to monitor and review available safety information related to ziana and take action as appropriate",Denial
Other/Unspecified,"your petitions point out, the proliferation of drug-resistant bacterial and other microbial infections (sometimes called antimicrobial or antibiotic",Denial
Other/Unspecified,been a key participant in federal initiatives including the national strategy to comba,Denial
Other/Unspecified,"our review of these materials, for the reasons set forth below, both petitions are denied",Denial
Other/Unspecified,"ons stated below, we are denying each of your requests",Denial
Bioequivalence Demonstrated,"unless there is phannaceutical equivalence and compliance with the applicable bioequivalence regulations, specifically, 21 c",Denial
Other/Unspecified,"amended section 5050)(8) ofthe federal food, drug, and cosmetic act (""fdca"")",Denial
Other/Unspecified,ks fda to follow the law and,Denial
Bioequivalence Demonstrated,"phannaceutical equivalence and compliance with the applicable bioequivalence regulations, specifically, 21 c",Denial
FDA Agrees/Warrants Action,"been directed to establish a committee of fda employees to recommend to the commissioner of food and drugs appropriate preclinical, trial design, and",Denial
Other/Unspecified,"ed on the committee's recommendations for articles for use in the prevention, diagnosis, and treatment ofrare diseases (rare diseases guidance)",Denial
Other/Unspecified,"es, including rare cancers",Denial
Other/Unspecified,"a first step, we announced in the federal register ofapril 30,2010, 75 fr 22819,",Denial
Other/Unspecified,"the committee's recommendations for articles for use in the prevention, diagnosis, and treatment ofrare diseases (rare diseases guidance)",Denial
FDA Agrees/Warrants Action,"a guidance specific to development ofrare cancers is not warranted, we will be developing a guidance in the future regarding rare diseases",Denial
Other/Unspecified,"sessment, at all of fda's center for drug evaluation and research (cder) advisory committee meetings discussing a specific drug product",Denial
Other/Unspecified,"ons stated below, your petition is denied",Denial
Other/Unspecified,pects of clinical investigations and applica,Denial
Other/Unspecified,"a drug product is approved in an nda for the change described in the petition (norvir® (ritonavir) 100 mg tablets, approved under nda 022417, held by",Denial
Procedural Issue,"originally submitted, you may seek a reconsideration of the decision not to approve your petition following the procedures set forth in 21 cfr 10",Denial
Procedural Issue,ed solely on the information contained in your original petition and must be submitted in accordance with 21 cfr 10,Denial
Other/Unspecified,"part of your original submission that you would like the agency to consider, you should submit a new petition including all the necessary information",Denial
Other/Unspecified,"additional information not included as part of your original submission that you would like the agency to consider, you should submit a new petition",Denial
Other/Unspecified,"originally submitted, you may seek a reconsideration of the denial following the procedures set forth in 2 1 cfr 10",Denial
Other/Unspecified,ed solely on the information contained in your original petition and must be submitted in accordance with 2 1 cfr section 10,Denial
Other/Unspecified,"part of your original submission that you would like the fda to consider, you should submit a new petition including all the necessary information to",Denial
Other/Unspecified,"additional information, not included as part of your original submission that you would like the fda to consider, you should submit a new petition in",Denial
Sufficient Evidence,of your assertion that new evidence suggests that “freak amino acids” are produced when the bovine growth hormone is recombined with e,Denial
Other/Unspecified,"developed a “substantial equivalence” policy that eases the burden on applicants for approval of genetically modified organisms, but you argue that t",Denial
Other/Unspecified,"ons, you contend that upjohn has the burden of conducting the same testing and research that was required of monsanto in its application for approval",Denial
Other/Unspecified,previously been publicly disclosed or acknowledged by a sponsor,Denial
Other/Unspecified,been previously disclosed or acknowledged,Denial
Other/Unspecified,"ons explained below, the agency denies your request",Denial
Other/Unspecified,reviewed pursuant to section 505,Denial
Other/Unspecified,"reviewed pursuant to section 505(j)(2)(c) of the federal food, drug, and cosmetic act",Denial
Safety Established,safe and effective on the basis of the information required to be submitted in an abbreviated application,Denial
Other/Unspecified,determined that your propo,Denial
Other/Unspecified,sume that this was a typographical error,Denial
Other/Unspecified,submitted under 505(b)(2) of the act the drug price competition andpatent term restoration act of 1984 (the hatch- waxman amendments) created section,Denial
Other/Unspecified,"reviewed pursuant to section 505(j)(2)(c) of the federal food, drug, and cosmetic act (act)",Denial
Safety Established,"determined that your proposed changes in strength and dosing regimen raise questions of safety and effectiveness, and has concluded that clinical tri",Denial
Other/Unspecified,efficacy concerns regarding the one tune only dosing regimen,Denial
Safety Established,investigations are necessary to show the safety and effectiveness of the proposed drug product and because a chan,Denial
Insufficient Evidence,concluded that 5-year marketing exclusivity should also apply to products about which the agency has insufficient information to know whether they co,Denial
Other/Unspecified,decided under the circumstances before us (1) to apply a presumption for purposes of marketing exclusivity that a product does not contain a previous,Denial
Insufficient Evidence,"insufficient information to know if, in fact, it contains one, and (2) to grant 5-year marketing exclusivity to vitrase in accordance with this presu",Denial
Other/Unspecified,"e, and other hyaluronidase products approved for the same uses, is unusual",Denial
Other/Unspecified,"e in these products is not fully characterized (and thus the agency does not know whether these products, in fact, contain any previously approved act",Denial
Other/Unspecified,e 5-year marketing exclusivity in accordance with the ’ section 5105(i)(s)(f) of the a,Denial
Insufficient Evidence,5-year marketing exclusivity should also apply to products about which the agency has insufficient information to know whether they contain a previou,Denial
Other/Unspecified,approved the mentor and inamed pmas because the data considered in support of each pma meet the statutory standard for approval,Denial
Safety Established,"a whole, provide reasonable assurance that the device is safe and effective for its conditions of use",Denial
Safety Established,we find your argument that a reasonable assurance of safety and effectiveness was not established for these devices unpersuasive and contrary to the,Denial
Other/Unspecified,"t implants, discusses certain clinical findings about silicone gel-filled breast implants, and sets forth the regulatory history of the mentor and ina",Denial
Other/Unspecified,t implants breast im,Denial
Safety Established,your argument that a reasonable assurance of safety and effectiveness was not established for these devices unpersuasive and contrary to the law,Denial
Other/Unspecified,"ons explained below, we are denying your petition",Denial
Other/Unspecified,"ses (plus lenses) for reading, viewing a computer monitor, or other prolonged close work,"" (petition, page 3)",Denial
Other/Unspecified,"sert that ""failure to advise consumers that myopia can be reduced or prevented by use of prescribed reading glasses"" is u",Denial
Other/Unspecified,"to a parent or other responsible adult,"" (petition, page 3)",Denial
Other/Unspecified,"ons stated below, we deny your request",Denial
Other/Unspecified,for repaglinide that include only a section viii statement for the method-of-use claim of the u,Denial
Other/Unspecified,"ons below, we grant your request",Denial
Other/Unspecified,an adjunct to diet and exercise to improve glycemic control in adults wit,Denial
Other/Unspecified,"ers because fda is not aware of any data, and you did not provide any data, that would indicate refractive surgery lasers present an ""unreasonable and",Denial
Other/Unspecified,is to ban such devices and fda is denying this request,Denial
Other/Unspecified,"is of all available data and information, fda finds that the device ""presents substantial deception or an unreasonable and substantial risk of illness",Denial
Other/Unspecified,"to be done, such labeling or change in labeling was not done within such",Denial
Other/Unspecified,no basis to ban such devices and fda is denying this request,Denial
Sufficient Evidence,"e of the former, there is no evidence that prescribers can expect efficacy based on the listed drug",Denial
Sufficient Evidence,pirin exposure by approximately one-third and there is no evidence tha,Denial
Safety Established,no evidence of the safety for the 7,Denial
Sufficient Evidence,no evidence that prescribers can expect efficacy based on the listed drug,Denial
Other/Unspecified,carefully reviewed the petition,Denial
Other/Unspecified,"ons described below, the petition is denied",Denial
Other/Unspecified,"become more difficult for pharmacists to determine the status of the prescription drug products on their shelves and that, due in part to corporate m",Denial
Other/Unspecified,ily determine the equivalence status of any drug product by simply compari,Denial
Other/Unspecified,"ed on the facts, the science, and the law",Denial
Safety Established,a preservative were shown to be safe prior to licensure a,Denial
Procedural Issue,a preservative is consistent with fda regulations b,Denial
Other/Unspecified,taken steps to reduce exposure to thirnerosal c,Denial
Safety Established,a preservative are safe v,Denial
Safety Established,an adjuvant were shown to be safe prior to licensure vi,Denial
